IDOcorrencia,IDLocal
2285613162,600
2285668877,501
2285618014,493
2285613973,661
2285613973,930
2285665565,280
2285665565,1176
2285672075,123
2285661247,843
2285661247,489
2285661772,814
2285661772,892
2285652029,735
2285649186,281
2285666604,361
2285649186,346
2285666604,725
2285656466,675
2285651112,1053
2285600433,1255
2285651112,1104
2285657703,935
2285646625,1274
2285672752,733
2285660498,997
2285670828,968
2285672752,932
2285665580,237
2285618024,391
2285645710,1143
2285649468,870
2285649468,930
2285649468,410
2285649468,866
2285650586,94
2285650586,741
2285668871,101
2285668871,72
2285668871,1053
2285651106,1053
2285653140,643
2285675659,1060
2285668871,661
2285668871,379
2285668871,1089
2285668871,1065
2285668871,581
2285668871,560
2285668871,770
2285668871,611
2285650272,968
2285643550,20
2285643550,379
2285644855,411
2285643550,126
2285616962,1331
2285643550,883
2285656459,1061
2285657700,20
2285652758,37
2285652758,428
2285657700,419
2285598055,295
2285635867,436
2285598055,270
2285635867,1299
2285598055,1299
2285635867,481
2285667091,1359
2285635867,685
2285665039,930
2285661246,1172
2285661246,274
2285675653,804
2285646623,935
2285646623,47
2285646623,813
2285671271,205
2285646623,1261
2285671271,351
2285671271,469
2285671271,229
2285646623,117
2285671271,536
2285666365,815
2285666365,933
2285653342,1250
2285653142,1122
2285653142,960
2285600428,1161
2285613974,253
2285666354,1358
2285654701,1426
2285654701,1312
2285654701,1250
2285613974,305
2285603133,559
2285603133,72
2285603133,902
2285603133,418
2285603133,737
2285603133,616
2285603133,381
2285602357,1045
2285665046,761
2285655466,559
2285655466,847
2285655466,52
2285666368,812
2285654695,812
2285666368,411
2285654695,411
2285666368,670
2285664162,72
2285664162,878
2285651103,116
2285653335,1197
2285653335,1436
2285651109,182
2285664692,103
2285662488,679
2285662488,846
2285664692,1331
2285662488,968
2285662787,113
2285667610,421
2285667610,901
2285667610,724
2285650286,391
2285650286,132
2285653143,132
2285659974,1013
2285658809,1013
2285650286,1352
2285667611,1170
2285650286,230
2285650286,186
2285650286,1353
2285650286,332
2285650286,229
2285650286,1159
2285640763,4
2285670841,935
2285651110,960
2285649470,127
2285649830,560
2285651110,878
2285663151,1540
2285663151,778
2285663151,1401
2285645711,1579
2285657693,36
2285656449,1010
2285599616,971
2285599616,1506
2285654685,1355
2285656454,117
2285652019,310
2285646613,102
2285654691,1442
2285665827,22
2285665827,1142
2285665827,1010
2285644832,129
2285665827,509
2285644832,1264
2285665827,118
2285665827,1537
2285644832,90
2285644832,173
2285644832,886
2285665827,886
2285644832,827
2285665827,827
2285665827,117
2285644832,117
2285665827,116
2285665827,609
2285649174,741
2285649174,628
2285613961,1230
2285598036,901
2285613961,1256
2285598036,882
2285613960,514
2285618007,1522
2285649828,1382
2285653338,1331
2285654391,975
2285598058,1230
2285654391,1202
2285654391,418
2285666587,900
2285666587,1404
2285654391,52
2285598058,1192
2285654391,381
2285654391,24
2285603868,1167
2285603451,960
2285603868,1179
2285667086,575
2285675656,355
2285603112,1429
2285671263,1616
2285603112,900
2285652018,507
2285663915,1454
2285652018,1208
2285652018,173
2285652018,420
2285652018,1567
2285652018,494
2285652018,419
2285652018,724
2285652018,873
2285666349,795
2285665825,847
2285606788,320
2285665825,909
2285654384,1001
2285665825,1227
2285665825,1208
2285665825,29
2285665825,624
2285606788,846
2285665825,901
2285665825,1058
2285665825,56
2285665825,173
2285665825,420
2285665825,1087
2285665825,765
2285606788,1124
2285665825,378
2285665825,982
2285665825,944
2285665825,620
2285659271,682
2285649815,1429
2285649815,1053
2285649815,1459
2285649177,1121
2285649815,960
2285649177,429
2285649815,968
2285649815,172
2285649177,528
2285650577,93
2285650577,73
2285664689,1372
2285644835,736
2285644835,129
2285644835,661
2285644835,1045
2285644835,1336
2285644835,113
2285644835,172
2285600422,1478
2285652007,1026
2285652007,787
2285652745,132
2285666351,1478
2285666351,842
2285652745,46
2285650580,169
2285660281,81
2285660281,1478
2285666353,1634
2285660281,842
2285660281,1124
2285672745,268
2285649822,353
2285649822,1623
2285665559,260
2285672745,703
2285665559,703
2285665559,492
2285606280,481
2285672745,259
2285662478,259
2285611692,72
2285663911,286
2285663911,445
2285611692,1336
2285608348,565
2285663911,369
2285663911,270
2285608348,541
2285663911,704
2285611692,1337
2285611692,882
2285616950,742
2285652014,1075
2285643958,892
2285646210,1606
2285665030,1718
2285602345,847
2285664682,1487
2285664682,1489
2285602345,901
2285665030,504
2285602345,113
2285643548,1440
2285602345,172
2285602345,1465
2285649451,1054
2285610857,1035
2285602345,419
2285665030,827
2285602345,92
2285665030,386
2285602345,724
2285602345,860
2285602345,24
2285664682,575
2285606278,1215
2285649449,1045
2285655137,162
2285603862,1634
2285649449,384
2285659960,1518
2285649449,386
2285603862,1670
2285603862,1644
2285653326,933
2285603448,772
2285661316,1336
2285603448,825
2285603448,675
2285603448,1236
2285661316,1075
2285661316,1274
2285661315,677
2285649817,1519
2285645701,756
2285610861,1631
2285607283,804
2285667073,1096
2285667073,1478
2285667073,1544
2285660277,417
2285635855,933
2285661319,1400
2285654380,336
2285654380,162
2285654380,1352
2285653324,892
2285667588,1210
2285649814,159
2285661760,1353
2285661760,229
2285661760,508
2285664688,1558
2285664688,310
2285600418,991
2285600418,842
2285660275,1468
2285660275,287
2285660275,232
2285599609,1282
2285672068,298
2285599609,1163
2285611409,1010
2285611409,727
2285643070,83
2285611409,530
2285611409,528
2285661317,661
2285665562,1717
2285665562,1118
2285665562,820
2285661317,1337
2285613154,1010
2285605908,1022
2285652740,1079
2285655458,712
2285606787,401
2285666589,54
2285606787,1159
2285606787,941
2285650572,355
2285670822,1440
2285662774,1547
2285605914,1659
2285653133,883
2285605914,1644
2285668864,445
2285668864,735
2285649170,1787
2285672738,971
2285661323,1161
2285659268,1776
2285649166,1236
2285611685,892
2285602347,763
2285602347,662
2285602347,978
2285602347,932
2285602347,917
2285653328,1118
2285653328,820
2285652743,1582
2285600425,1561
2285600425,996
2285600425,1459
2285664683,400
2285664683,734
2285664683,463
2285665556,1202
2285613156,1622
2285618004,4
2285654377,4
2285618004,41
2285618004,108
2285654377,1528
2285618004,31
2285618004,417
2285640745,1748
2285645699,957
2285640751,1597
2285667592,1144
2285607279,1670
2285662468,1670
2285608350,1618
2285603440,1289
2285603440,1143
2285608346,494
2285655133,1461
2285653131,172
2285598037,989
2285598037,1261
2285611408,1458
2285603860,860
2285654686,1610
2285662470,933
2285665557,1597
2285606784,1010
2285650260,960
2285665819,1631
2285666343,100
2285666343,59
2285653124,103
2285653124,1605
2285606273,1115
2285618009,1171
2285666343,250
2285618009,1771
2285666586,512
2285665025,1344
2285661306,501
2285661306,229
2285617992,52
2285660470,725
2285660470,1918
2285661306,508
2285650563,1894
2285650563,523
2285655449,1204
2285665024,1286
2285670806,1440
2285617990,1286
2285617990,1241
2285617990,1196
2285661229,1546
2285668790,1896
2285646202,1635
2285661750,113
2285665553,1054
2285643946,1917
2285643953,320
2285656437,1286
2285599600,1618
2285656437,1196
2285656437,1154
2285616939,1896
2285616939,1323
2285617997,1171
2285664951,1769
2285643952,1206
2285661307,1905
2285658791,1546
2285640307,1215
2285640307,20
2285655453,72
2285651077,822
2285617999,1169
2285640307,27
2285603852,1581
2285603852,172
2285603852,419
2285603852,791
2285640307,410
2285603852,882
2285655453,381
2285605902,1372
2285659257,46
2285608333,72
2285608333,1089
2285608333,1065
2285608333,381
2285637006,991
2285637006,960
2285643950,1916
2285668783,1053
2285610852,493
2285668783,565
2285668783,960
2285652000,960
2285668783,842
2285652000,842
2285668783,968
2285652000,1035
2285668783,1124
2285643955,1547
2285643955,1546
2285650259,1641
2285666341,1206
2285643533,1124
2285650259,1145
2285653120,724
2285637001,320
2285666994,718
2285666994,710
2285640312,1741
2285653121,1923
2285646201,31
2285666344,1075
2285606275,1905
2285656441,576
2285643527,24
2285600404,1010
2285600404,1144
2285600404,536
2285600404,515
2285667001,847
2285649808,237
2285667001,1581
2285607274,1950
2285608335,229
2285608330,746
2285608330,1292
2285643061,12
2285643061,69
2285643061,1353
2285643061,1087
2285643061,888
2285608330,400
2285643061,54
2285643061,419
2285616945,1916
2285660262,24
2285603850,746
2285598030,27
2285598030,723
2285598030,1189
2285598030,1
2285598030,431
2285598030,866
2285598030,883
2285598030,534
2285664147,1745
2285664147,1411
2285660466,24
2285603443,725
2285663902,1634
2285600403,1760
2285603432,1841
2285634567,157
2285657680,791
2285608331,917
2285671246,462
2285663896,1641
2285606271,519
2285607268,519
2285671246,113
2285644824,397
2285663896,1124
2285617996,761
2285599601,725
2285663896,1240
2285671246,882
2285613142,462
2285646601,449
2285599599,1165
2285599599,537
2285660464,1004
2285599599,551
2285599599,981
2285640730,1950
2285649162,682
2285660270,960
2285607267,1880
2285660270,842
2285660270,968
2285660270,1960
2285600414,528
2285666990,1995
2285603847,675
2285664671,1876
2285671244,1944
